msa,Covid_payment_mean,ownership_FEDERAL_mean,ownership_HOSPITAL DISTRICT OR AUTHORITY_mean,ownership_LOCAL_mean,ownership_OTHER (SPECIFY)_mean,ownership_PHYSICIAN OWNERSHIP_mean,ownership_PRIVATE (FOR PROFIT)_mean,ownership_PRIVATE (NOT FOR PROFIT)_mean,ownership_STATE_mean,ownership_TRIBAL_mean,urban_rural_URBAN_mean,teaching_YES_mean,beds_grp_100-199_mean,beds_grp_200-299_mean,beds_grp_300-399_mean,beds_grp_400-499_mean,beds_grp_500+_mean,Covid_payment_count,ownership_FEDERAL_count,ownership_HOSPITAL DISTRICT OR AUTHORITY_count,ownership_LOCAL_count,ownership_OTHER (SPECIFY)_count,ownership_PHYSICIAN OWNERSHIP_count,ownership_PRIVATE (FOR PROFIT)_count,ownership_PRIVATE (NOT FOR PROFIT)_count,ownership_STATE_count,ownership_TRIBAL_count,urban_rural_URBAN_count,teaching_YES_count,beds_grp_100-199_count,beds_grp_200-299_count,beds_grp_300-399_count,beds_grp_400-499_count,beds_grp_500+_count,Covid_payment_exists,ownership_FEDERAL_exists,ownership_HOSPITAL DISTRICT OR AUTHORITY_exists,ownership_LOCAL_exists,ownership_OTHER (SPECIFY)_exists,ownership_PHYSICIAN OWNERSHIP_exists,ownership_PRIVATE (FOR PROFIT)_exists,ownership_PRIVATE (NOT FOR PROFIT)_exists,ownership_STATE_exists,ownership_TRIBAL_exists,urban_rural_URBAN_exists,teaching_YES_exists,beds_grp_100-199_exists,beds_grp_200-299_exists,beds_grp_300-399_exists,beds_grp_400-499_exists,beds_grp_500+_exists,Covid_payment_median,ownership_FEDERAL_median,ownership_HOSPITAL DISTRICT OR AUTHORITY_median,ownership_LOCAL_median,ownership_OTHER (SPECIFY)_median,ownership_PHYSICIAN OWNERSHIP_median,ownership_PRIVATE (FOR PROFIT)_median,ownership_PRIVATE (NOT FOR PROFIT)_median,ownership_STATE_median,ownership_TRIBAL_median,urban_rural_URBAN_median,teaching_YES_median,beds_grp_100-199_median,beds_grp_200-299_median,beds_grp_300-399_median,beds_grp_400-499_median,beds_grp_500+_median,Covid_payment_mode,ownership_FEDERAL_mode,ownership_HOSPITAL DISTRICT OR AUTHORITY_mode,ownership_LOCAL_mode,ownership_OTHER (SPECIFY)_mode,ownership_PHYSICIAN OWNERSHIP_mode,ownership_PRIVATE (FOR PROFIT)_mode,ownership_PRIVATE (NOT FOR PROFIT)_mode,ownership_STATE_mode,ownership_TRIBAL_mode,urban_rural_URBAN_mode,teaching_YES_mode,beds_grp_100-199_mode,beds_grp_200-299_mode,beds_grp_300-399_mode,beds_grp_400-499_mode,beds_grp_500+_mode
1,485950.96875,0.046875,0.265625,0.078125,0.109375,0.0,0.328125,0.15625,0.0,0.0,0.0,0.0625,0.21875,0.046875,0.0,0.0,0.0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,8700862.0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.15384615384615385,0.0,0.23076923076923078,0.3076923076923077,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0.0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1025000.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666,0.2777777777777778,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11050000.0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16901.408450704224,0.0,0.0,0.28169014084507044,0.056338028169014086,0.0,0.22535211267605634,0.36619718309859156,0.0,0.0,0.0,0.09859154929577464,0.1267605633802817,0.04225352112676056,0.0,0.0,0.028169014084507043,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1200000.0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.35714285714285715,0.11904761904761904,0.19047619047619047,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.023809523809523808,0.11904761904761904,0.0,0.0,0.0,0.0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0.0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,167021.27659574468,0.0,0.3829787234042553,0.1702127659574468,0.14893617021276595,0.02127659574468085,0.0,0.19148936170212766,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1950000.0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2750000.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9000000.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,561111.1111111111,0.0,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.0,0.25925925925925924,0.37037037037037035,0.0,0.0,0.0,0.037037037037037035,0.14814814814814814,0.0,0.0,0.0,0.0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,10550000.0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,811250.0,0.0,0.5625,0.0125,0.0375,0.0,0.2375,0.125,0.0125,0.0,0.0,0.1,0.0875,0.0375,0.0,0.0,0.0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,12700000.0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
