msa,avg_income_2020
0,53504
999,46612
10180,47740
10420,53252
10500,45593
10540,42653
10580,58601
10740,45418
10780,47167
10900,53904
11020,52163
11100,47978
11180,44987
11260,56182
11460,58025
11500,41026
11540,53682
11700,48822
12020,44449
12060,54049
12100,51438
12220,41931
12260,46247
12420,57560
12540,40701
12580,57114
12620,44178
12700,67853
12940,50513
12980,44312
13020,47232
13140,45668
13220,44937
13380,46583
13460,54060
13740,54555
13780,47322
13820,53660
13900,58815
13980,40152
14010,52359
14020,44505
14100,49638
14260,48742
14460,70207
14500,70089
14540,40185
14740,51941
14860,102799
15180,33882
15260,46542
15380,52613
15500,43952
15540,54507
15680,57045
15940,50277
15980,49887
16020,46198
16060,46356
16180,53067
16220,67446
16300,55716
16540,49467
16580,48546
16620,49443
16700,51137
16740,54096
16820,65256
16860,48908
16940,53386
16980,58262
17020,44725
17140,57562
17300,44667
17420,42683
17460,57115
17660,48260
17780,41811
17820,49934
17860,49227
17900,48412
17980,45836
18020,54570
18140,53887
18580,44794
18700,44748
18880,55137
19060,45412
19100,52886
19140,41621
19180,47416
19300,47483
19340,52933
19430,51840
19460,45478
19500,53592
19660,44390
19740,58743
19780,55265
19820,54256
20020,46886
20100,44330
20220,54400
20260,50727
20500,54548
20700,43741
20740,50521
20940,42998
21060,46990
21140,49163
21300,46612
21340,40414
21420,47281
21500,48308
21660,44806
21780,51839
21820,54130
22020,55850
22140,38403
22180,41187
22220,67822
22380,48251
22420,46420
22500,46278
22520,45103
22540,52072
22660,52933
22900,41251
23060,49512
23420,43847
23460,42071
23540,45666
23580,47302
23900,50760
24020,49384
24140,43421
24220,55897
24260,48224
24300,46159
24340,51490
24420,43191
24500,54630
24540,47772
24580,54305
24660,47103
24780,45071
24860,47425
25060,40866
25180,46908
25220,41572
25260,39299
25420,54613
25500,41751
25540,59086
25620,42179
25860,44789
25940,53032
25980,36254
26140,41002
26300,45771
26380,46423
26420,54023
26580,46346
26620,54007
26820,51238
26900,57599
26980,53925
27060,42211
27100,43706
27140,48064
27180,47357
27260,51662
27340,42893
27500,47732
27620,48562
27740,44712
27780,52076
27860,41533
27900,43593
27980,42916
28020,50847
28100,45093
28140,55338
28420,43461
28660,43603
28700,44444
28740,49826
28940,49772
29020,45254
29100,52883
29180,46873
29200,41562
29340,50391
29420,37478
29460,38217
29540,53564
29620,44744
29700,34477
29740,41158
29820,47606
29940,45982
30020,45339
30140,49449
30300,50627
30340,43045
30460,50933
30620,47190
30700,51065
30780,48767
30860,44023
30980,43366
31020,44763
31080,56313
31140,54681
31180,43716
31340,43806
31420,45764
31460,41747
31540,59811
31700,57756
31740,48003
31860,49452
31900,45353
32580,31779
32780,46989
32820,49803
32900,39976
33100,52684
33140,46437
33220,56894
33260,107779
33340,56926
33460,58797
33540,52429
33660,43190
33700,43024
33740,46526
33780,51216
33860,47273
34060,45874
34100,41107
34580,50545
34620,41987
34740,43212
34820,42040
34900,66757
34940,92957
34980,57779
35100,48601
35300,52940
35380,53951
35620,64352
35660,53993
35840,55673
35980,54421
36100,40440
36140,60537
36220,44970
36260,46800
36420,50721
36500,48588
36540,57809
36740,44120
36780,49953
36980,45738
37100,54631
37340,47969
37460,47718
37620,49036
37860,46393
37900,53102
37980,61534
38060,45638
38220,40873
38300,60070
38340,57165
38540,43508
38860,57151
38900,53478
38940,55147
39100,48162
39150,42918
39300,54299
39340,43684
39380,43215
39460,42604
39540,51963
39580,57450
39660,53724
39740,51525
39820,46664
39900,60281
40060,57834
40140,39484
40220,49706
40340,57021
40380,51869
40420,47290
40580,46463
40660,42297
40900,52623
40980,46627
41060,49419
41100,42065
41140,43677
41180,57385
41420,42618
41500,50136
41540,50173
41620,53584
41660,49971
41700,46114
41740,52751
41860,85408
41940,97914
42020,51377
42100,62661
42140,60218
42200,55691
42220,58665
42340,48902
42540,49731
42660,64844
42680,80159
42700,37130
43100,54947
43300,44933
43340,51855
43420,46546
43580,56299
43620,64389
43780,50205
43900,46709
44060,45405
44100,52509
44140,53310
44180,44725
44220,45711
44300,45973
44420,48035
44700,45061
44940,43831
45060,51924
45220,45208
45300,47630
45460,42871
45500,42038
45540,51466
45780,51051
45820,50633
45940,64540
46060,46540
46140,56423
46220,42728
46300,44204
46340,53147
46520,49818
46540,47961
46660,41139
46700,48862
47020,50690
47220,42288
47260,50031
47300,42881
47380,43403
47460,47713
47580,46008
47900,62134
47940,49253
48060,52288
48140,54516
48260,47785
48300,49616
48540,50756
48620,54003
48660,46160
48700,47662
48900,46093
49020,50365
49180,48824
49340,55392
49420,46171
49620,51780
49660,48060
49700,44228
49740,41512
