msa,population_estimate_2020
10180,173185
10420,701449
10500,145206
10540,131054
10580,878550
10740,923630
10780,150821
10900,846399
11020,121007
11100,265761
11180,124514
11260,397308
11460,366473
11500,113469
11540,238975
11700,466634
12020,214759
12060,6087762
12100,262945
12220,166831
12260,614312
12420,2295303
12540,901362
12580,2800189
12620,151655
12700,213164
12940,858571
12980,133580
13020,102387
13140,391310
13220,114982
13380,231016
13460,201769
13740,183799
13780,237324
13820,1091921
13900,129641
13980,167244
14010,171256
14020,169052
14100,82884
14260,770353
14460,4878211
14500,327171
14540,180751
14740,272787
14860,942426
15180,424180
15260,119157
15380,1125637
15500,171346
15540,221160
15680,114687
15940,396669
15980,790767
16020,97120
16060,135448
16180,56034
16220,80815
16300,273885
16540,155637
16580,225547
16620,254145
16700,819705
16740,2684276
16820,219910
16860,569931
16940,100595
16980,9406638
17020,212744
17140,2232907
17300,314364
17420,125906
17460,2043807
17660,170628
17780,268224
17820,753839
17860,210094
17900,847397
17980,322658
18020,84447
18140,2138946
18580,430217
18700,93239
18880,289468
19060,96779
19100,7694138
19140,143869
19180,74855
19300,229287
19340,377759
19430,809248
19460,152740
19500,103015
19660,679948
19740,2991231
19780,707915
19820,4304136
20020,150214
20100,183643
20220,97590
20260,288648
20500,652542
20700,170154
20740,169997
20940,180267
21060,154356
21140,206161
21300,82622
21340,846192
21420,60869
21500,268426
21660,382986
21780,315731
21820,95651
22020,248594
22140,123312
22180,529252
22220,548634
22380,142481
22420,404794
22500,204097
22520,148779
22540,102902
22660,360428
22900,250434
23060,416565
23420,1000918
23460,102371
23540,332317
23580,206591
23900,102742
24020,124362
24140,123967
24220,100381
24260,75325
24300,155603
24340,1081372
24420,88053
24500,81346
24540,333983
24580,323379
24660,776363
24780,182924
24860,932705
25060,418963
25180,291144
25220,136765
25260,152692
25420,581943
25500,135550
25540,1201483
25620,169554
25860,370266
25940,227244
25980,83175
26140,153010
26300,99789
26380,207455
26420,7154478
26580,354085
26620,481681
26820,155361
26900,2091019
26980,175732
27060,101058
27100,156920
27140,589082
27180,179131
27260,1587892
27340,203943
27500,163084
27620,150198
27740,204540
27780,128672
27860,135528
27900,180099
27980,167902
28020,265988
28100,108594
28140,2173212
28420,303501
28660,468453
28700,308183
28740,177716
28940,878124
29020,82732
29100,137134
29180,489759
29200,233278
29340,210313
29420,217206
29460,744552
29540,546192
29620,548248
29700,277681
29740,221262
29820,2315963
29940,122530
30020,126775
30140,141663
30300,63575
30340,108547
30460,520391
30620,101980
30700,337836
30780,746564
30860,144219
30980,287105
31020,111371
31080,13109903
31140,1268993
31180,326364
31340,264386
31420,229900
31460,157761
31540,670447
31700,418735
31740,130142
31860,102723
31900,120891
32580,875200
32780,221844
32820,1348678
32900,279252
33100,6173008
33140,109663
33220,83441
33260,183679
33340,1577676
33460,3657477
33540,121630
33660,428692
33700,550081
33740,198836
33780,150568
33860,372583
34060,140199
34100,143982
34580,130789
34620,113454
34740,173883
34820,514488
34900,135965
34940,392973
34980,1961232
35100,123198
35300,851948
35380,1272258
35620,19124359
35660,153025
35840,854684
35980,264999
36100,373513
36140,91546
36220,167701
36260,691359
36420,1425375
36500,294074
36540,954270
36740,2639374
36780,171631
36980,119795
37100,841387
37340,608459
37460,171322
37620,88643
37860,511503
37900,396781
37980,6107906
38060,5059909
38220,86278
38300,2309246
38340,124571
38540,96438
38860,543221
38900,2510259
38940,499274
39100,678527
39150,240226
39300,1623890
39340,663181
39380,169823
39460,194711
39540,195802
39580,1420376
39660,144514
39740,421017
39820,179027
39900,481289
40060,1303469
40140,4678371
40220,313784
40340,223062
40380,1067486
40420,334072
40580,145688
40660,98604
40900,2374749
40980,189868
41060,202996
41100,184913
41140,122556
41180,2805473
41420,436948
41500,430906
41540,423481
41620,1240029
41660,122889
41700,2590732
41740,3332427
41860,4696902
41940,1971160
42020,282249
42100,269925
42140,151946
42200,444766
42220,489819
42340,395983
42540,552528
42660,4018598
42680,162518
42700,106639
43100,115240
43300,138318
43340,392404
43420,127450
43580,144996
43620,273566
43780,323068
43900,326205
44060,574585
44100,205950
44140,695654
44180,475220
44220,133593
44300,161496
44420,124475
44700,767967
44940,139775
45060,646038
45220,389599
45300,3243963
45460,185632
45500,148838
45540,139018
45780,641549
45820,230878
45940,367239
46060,1061175
46140,1006411
46220,253211
46300,112989
46340,235806
46520,963826
46540,288291
46660,148364
46700,446935
47020,99562
47220,147008
47260,1779824
47300,468680
47380,277005
47460,61292
47580,188060
47900,6324629
47940,168314
48060,108095
48140,163159
48260,115184
48300,121134
48540,137217
48620,643768
48660,152485
48700,113209
48900,301284
49020,142009
49180,679731
49340,945752
49420,251879
49620,450448
49660,531420
49700,176545
49740,217824
