prvdr_num,prvdr_name,prvdr_address,city,state,prov_region,zip,CBSA_CD,MSA_CD,ownership,urban_rural,teaching,UCN,beds_grp,org_npi_num,IDN,IDN_parent,Covid_payment
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,NORTHEAST,11040,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2530,500+,1285641514,Northwell Health (AKA: North Shore Long Island Jewish Health System),NA,278789856.6
330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,NORTHEAST,11219,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2537,500+,1093777492,NA,NA,153467878.8
220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,NORTHEAST,2114,14454,14454,PRIVATE (NOT FOR PROFIT),URBAN,YES,45256,500+,1023049236,Partners HealthCare,NA,100062031
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,NORTHEAST,7601,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2434,500+,1457456279,Hackensack University Health Network,Hackensack Meridian Health,98187623.98
330234,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,NORTHEAST,10595,35614,35614,HOSPITAL DISTRICT OR AUTHORITY,URBAN,YES,4390,500+,1932280666,Westchester Medical Center Health Network,Westchester Medical Center Health Network,95880762.61
390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,PHILADELPHIA,PA,NORTHEAST,19140,37964,37964,PRIVATE (NOT FOR PROFIT),URBAN,YES,2710,500+,1356981443,Temple University Health System,NA,91627737.21
330393,STONY BROOK UNIVERSITY HOSPITAL,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,NORTHEAST,11794,35004,35004,STATE,URBAN,YES,4441,500+,1033224704,Stony Brook Medicine (AKA: Stony Brook University Hospital System),NA,91109303.11
310076,SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,NORTHEAST,7039,35084,35084,OTHER (SPECIFY),URBAN,YES,7163,400-499,1396857488,Barnabas Health,RWJ Barnabas Health,82618465.4
230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,MIDWEST,48202,19804,19804,PRIVATE (NOT FOR PROFIT),URBAN,YES,3230,500+,1134144801,Henry Ford Health System,Henry Ford Health System,79678703.65
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,5000 HENNESSY BLVD,BATON ROUGE,LA,SOUTH,70808,12940,12940,CHURCH,URBAN,YES,3622,500+,1366436123,Franciscan Missionaries of Our Lady Health System (FMOL),Franciscan Missionaries of Our Lady Health System (FMOL),79095218.38
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,NORTHEAST,11418,35614,35614,PRIVATE (NOT FOR PROFIT),URBAN,YES,2551,400-499,1245370717,MediSys Health Network,NA,76990752.79
